"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-01",,,"0.00",,,,"57","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-02",,,"0.00",,,,"50","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-03",,,"0.00",,,,"56","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-04",,,"0.02",,,,"53","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-05",,,"0.00",,,,"56","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-06",,,"0.00",,,,"57","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-07",,,"0.00",,,,"63","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-08",,,"0.03",,,,"56","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-09",,,"0.48",,,,"56","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-10",,,"0.24",,,,"53","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-11",,,"1.92",,,,"62","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-12",,,"0.10",,,,"64","61",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-13",,,"1.04",,,,"63","58",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-14",,,"0.12",,,,"62","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-15",,,"0.39",,,,"55","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-16",,,"0.07",,,,"60","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-17",,,"0.22",,,,"57","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-18",,,"0.00",,,,"56","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-19",,,"0.00",,,,"57","45",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-20",,,"0.00",,,,"62","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-21",,,"0.00",,,,"61","46",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-22",,,"0.00",,,,"64","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-23",,,"0.00",,,,"66","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-24",,,"0.00",,,,"57","46",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-25",,,"0.00",,,,"51","42",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-26",,,"0.00",,,,"51","43",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-27",,,"0.00",,,,"53","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-28",,,"0.00",,,,"52","45",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-29",,,"0.00",,,,"51","41",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-30",,,"0.00",,,,"55","42",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-01-31",,,"0.00",,,,"54","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-01",,,"0.00",,,,"63","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-02",,,"0.00",,,,"61","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-03",,,"0.00",,,,"63","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-04",,,"0.00",,,,"64","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-05",,,"0.00",,,,"60","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-06",,,"0.00",,,,"66","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-07",,,"0.00",,,,"63","54",
